RANK,MOVEMENT,PLAYER_ID,PLAYER,VICTORIES
1,0,46970,Jon Rahm,4
2,0,46717,Viktor Hovland,3
3,0,33141,Keegan Bradley,2
3,0,51766,Wyndham Clark,2
3,0,29725,Tony Finau,2
3,0,25900,Lucas Glover,2
3,0,39977,Max Homa,2
3,0,55182,Tom Kim,2
3,0,28237,Rory McIlroy,2
3,0,46046,Scottie Scheffler,2
11,0,56630,Akshay Bhatia,1
11,0,47504,Sam Burns,1
11,0,39997,Corey Conners,1
11,0,28089,Jason Day,1
11,0,51349,Nico Echavarria,1
11,0,40098,Matt Fitzpatrick,1
11,0,32102,Rickie Fowler,1
11,0,31646,Emiliano Grillo,1
11,0,47988,Nick Hardy,1
11,0,27644,Brian Harman,1
11,0,34098,Russell Henley,1
11,0,54628,Lee Hodges,1
11,0,35506,Mackenzie Hughes,1
11,0,37455,Si Woo Kim,1
11,0,30926,Chris Kirk,1
11,0,48117,Kurt Kitayama,1
11,0,36689,Brooks Koepka,1
11,0,27129,Luke List,1
11,0,49947,Taylor Moore,1
11,0,50525,Collin Morikawa,1
11,0,51070,Vincent Norrman,1
11,0,28252,Seamus Power,1
11,0,47995,Davis Riley,1
11,0,22405,Justin Rose,1
11,0,49960,Sepp Straka,1
11,0,40115,Adam Svensson,1
11,0,25493,Nick Taylor,1
11,0,51634,Sahith Theegala,1
11,0,40006,Erik van Rooyen,1
11,30,27770,Camilo Villegas,1
11,0,48887,Matt Wallace,1
42,-1,52955,Ludvig Åberg,0
42,-1,23778,Brad Adamonis,0
42,-1,51856,Tom Adrounie,0
42,-1,24461,Thomas Aiken,0
42,-1,64267,Blaze Akana,0
42,-1,49303,Anders Albertson,0
42,-1,33408,Tyson Alexander,0
42,-1,20771,Steven Alker,0
42,-1,60405,Bastien Amat,0
42,-1,58297,Paresh Amin,0
42,-1,33948,Byeong Hun An,0
42,-1,45526,Abraham Ancer,0
42,-1,30978,Kiradech Aphibarnrat,0
42,-1,45194,Marcus Armitage,0
42,-1,19803,Ryan Armour,0
42,-1,52096,Adri Arnaus,0
42,-1,21407,Arjun Atwal,0
42,-1,56676,John Augenstein,0
42,-1,47850,John Axelsen,0
42,-1,23048,Eric Axley,0
42,-1,51661,Nick Bachem,0
42,-1,22371,Aaron Baddeley,0
42,-1,28259,Sangmoon Bae,0
42,-1,56003,Yongjun Bae,0
42,-1,33404,Chris Baker,0
42,-1,32622,Matthew Baldwin,0
42,-1,60165,Jose Luis Ballester Barrio,0
42,-1,37212,Paul Barjon,0
42,-1,52956,Kyle Barker,0
42,-1,34374,Erik Barnes,0
42,-1,24846,Ricky Barnes,0
42,-1,46955,Haydn Barron,0
42,-1,35490,Wil Bateman,0
42,-1,48001,Zach Bauchou,0
